,title_link,links,adress,spec_flat,spec_flat_necce,location,area,prices,deposit,the_posted_dates,details
12,1 BHK Residential Apartment for Rent at Rakshak Nagar Gold in Kasba Peth,https://property.sulekha.com/apartments-flats-for-rent/585-sqft-1-bhk-flat-for-rent-at-rakshak-nagar-gold-in-kasba-peth-pune-1007305687-ad,Kasba,1 Car Parking 4th (of 6 Floors) UnFurnished Family Veg/Non Veg,Corporation water Drainage Facility 24*7 Power Backup +33 Amenities,"18.5204281,73.8567143",585 Sq Feet,"16,000","50,000",2021-02-09,Building:  Rakshak Nagar Gold  Broker:  Aditya Buildcon 
13,1 RK Residential Apartment for Rent in Yerawada,https://property.sulekha.com/apartments-flats-for-rent/400-sqft-1-rk-apartment-for-rent-in-yerawada-pune-1007295796-ad,Nagpur,No Car Parking 2nd (of 2 Floors) UnFurnished Family/Bachelor,Corporation water Drainage Facility 24*7 Power Backup,"0,0",400 Sq Feet,"6,000","12,000",2020-10-30,Broker:  S.S Enterprises 
14,1 BHK Flat for Rent at Amat preet in Hadapsar,https://property.sulekha.com/apartments-flats-for-rent/675-sqft-1-bhk-flat-for-rent-at-amat-preet-in-hadapsar-pune-1007282145-ad,"Hadapsar,",1 Car Parking 2nd (of 3 Floors) UnFurnished Family/Bachelor,Corporation water Drainage Facility Security +3 Amenities,"18.5055951,73.9256948",675 Sq Feet,"8,500","25,000",2020-07-10,Building:  Amat preet  Broker:  Malhar Properties 
15,1 BHK Residential Apartment for Rent at Vardhaman Dreams in Dange Chowk,https://property.sulekha.com/apartments-flats-for-rent/621-sqft-1-bhk-flat-for-rent-at-vardhaman-dreams-in-dange-chowk-pimpri-chinchwad-2796307210-ad,"Wakad,",1 Car Parking 4th (of 6 Floors) UnFurnished Family/Bachelor Veg/Non Veg,Corporation water 24*7 Power Backup Lifts +11 Amenities,"0,0",621 Sq Feet,"13,000","30,000",2021-02-26,Building:  Vardhaman Dreams  Broker:  Magic Homes 
16,1 RK Residential Apartment for Rent in Kharadi,https://property.sulekha.com/apartments-flats-for-rent/285-sqft-1-rk-flat-for-rent-in-kharadi-pune-1007309150-ad,"Kharadi,",No Car Parking 3rd (of 3 Floors) UnFurnished Family/Bachelor Veg/Non Veg,Corporation water,"18.552013,73.937569",285 Sq Feet,"6,000","12,000",2021-03-19,Broker:  Nilkanth Barate 
17,1 BHK Residential Apartment for Rent at Rakshak Nagar Gold in Kasba Peth,https://property.sulekha.com/apartments-flats-for-rent/585-sqft-1-bhk-flat-for-rent-at-rakshak-nagar-gold-in-kasba-peth-pune-1007305687-ad,Kasba,1 Car Parking 4th (of 6 Floors) UnFurnished Family Veg/Non Veg,Corporation water Drainage Facility 24*7 Power Backup +33 Amenities,"18.5204281,73.8567143",585 Sq Feet,"16,000","50,000",2021-02-09,Building:  Rakshak Nagar Gold  Broker:  Aditya Buildcon 
18,1 RK Residential Apartment for Rent in Yerawada,https://property.sulekha.com/apartments-flats-for-rent/400-sqft-1-rk-apartment-for-rent-in-yerawada-pune-1007295796-ad,Nagpur,No Car Parking 2nd (of 2 Floors) UnFurnished Family/Bachelor,Corporation water Drainage Facility 24*7 Power Backup,"0,0",400 Sq Feet,"6,000","12,000",2020-10-30,Broker:  S.S Enterprises 
19,1 BHK Flat for Rent at Amat preet in Hadapsar,https://property.sulekha.com/apartments-flats-for-rent/675-sqft-1-bhk-flat-for-rent-at-amat-preet-in-hadapsar-pune-1007282145-ad,"Hadapsar,",1 Car Parking 2nd (of 3 Floors) UnFurnished Family/Bachelor,Corporation water Drainage Facility Security +3 Amenities,"18.5055951,73.9256948",675 Sq Feet,"8,500","25,000",2020-07-10,Building:  Amat preet  Broker:  Malhar Properties 
20,1 RK Residential Apartment for Rent in Pimpri,https://property.sulekha.com/apartments-flats-for-rent/400-sqft-1-rk-flat-for-rent-in-pimpri-pune-100755674-ad,"Pimpri,",1 Car Parking Ground Floor (of 1 Floors) UnFurnished Family/Bachelor,Corporation water Drainage Facility 24*7 Power Backup,"18.6297811,73.7997094",400 Sq Feet,"7,000","50,000",2019-06-29,Broker:  Vision Associates 
21,1 BHK Residential Apartment for Rent in Dhayari,https://property.sulekha.com/apartments-flats-for-rent/550-sqft-1-bhk-flat-for-rent-in-dhayari-pune-1007312148-ad,Benkar,No Car Parking 3rd (of 4 Floors) UnFurnished Family Veg/Non Veg,Corporation water ATM Visitors Parking +1 Amenities,"0,0",550 Sq Feet,"5,600","20,000",2021-05-15,Broker:  Rama Enterprises 
22,3 BHK Residential Apartment for Rent at Eternal Exotica in Undri,https://property.sulekha.com/apartments-flats-for-rent/1509-sqft-3-bhk-flat-for-rent-at-eternal-exotica-in-undri-pune-1007274662-ad,"Undri,",1 Car Parking 4th (of 11 Floors) Fully Furnished Bachelors,24*7 Power Backup Lifts Swimming Pool +16 Amenities,"18.4566651,73.9095279",1509 Sq Feet,for,"2,000,000",2020-03-18,Building:  Eternal Exotica  Broker:  Ozone Properties 
23,2 BHK Residential Apartment for Rent at Gyanganga in Aundh,https://property.sulekha.com/apartments-flats-for-rent/900-sqft-2-bhk-flat-for-rent-at-gyanganga-in-aundh-pune-1007310695-ad,Wireless,1 Car Parking 1st (of 5 Floors) UnFurnished Family/Bachelor Veg/Non Veg,Corporation water Drainage Facility Lifts +10 Amenities,"18.564194,73.8040924",900 Sq Feet,"15,000","50,000",2021-04-12,Building:  Gyanganga  Owner:  Shrikant DALVI 
24,1 RK Residential Apartment for Rent at swami in Hadapsar,https://property.sulekha.com/apartments-flats-for-rent/420-sqft-1-rk-flat-for-rent-at-swami-in-hadapsar-pune-1007309686-ad,"Hadapsar,",No Car Parking 1st (of 4 Floors) Semi Furnished Family/Bachelor Veg/Non Veg,Corporation water Drainage Facility 24*7 Power Backup +8 Amenities,"18.515806,73.927164",420 Sq Feet,"6,890","14,000",2021-03-25,Building:  swami   Broker:  Sejal Properties 
0,2 BHK Residential Apartment for Rent at kumar paradise in Hadapsar,https://property.sulekha.com/apartments-flats-for-rent/1150-sqft-2-bhk-flat-for-rent-at-kumar-paradise-in-hadapsar-pune-1007307616-ad,"Hadapsar,",1 Car Parking 4th (of 11 Floors) UnFurnished Family/Bachelor Veg/Non Veg,Corporation water Drainage Facility 24*7 Power Backup +43 Amenities,"18.515806,73.927164",1150 Sq Feet,for,"45,000",2021-03-01,Building:  kumar paradise  Broker:  Sejal Properties 
1,2 BHK Residential Apartment for Rent at La Gloriosa in Kalyani Nagar,https://property.sulekha.com/apartments-flats-for-rent/1050-sqft-2-bhk-apartment-for-rent-at-la-gloriosa-in-kalyani-nagar-pune-1007300241-ad,Kalyani,2 Car Parking 6th (of 7 Floors) Fully Furnished Family/Bachelor Veg/Non Veg,Drainage Facility Lifts Security +22 Amenities,"0,0",1050 Sq Feet,26,"80,000",2020-12-11,Building:  La Gloriosa  Broker:  Mountain Gate Properties 
2,1 RK Residential Apartment for Rent in Baner Gaon,https://property.sulekha.com/apartments-flats-for-rent/250-sqft-1-rk-flat-for-rent-in-baner-gaon-pune-1007308259-ad,Baner,1 Car Parking 2nd (of 3 Floors) Semi Furnished Family/Bachelor,Feng Shui / Vastu,"0,0",250 Sq Feet,"7,000","20,000",2021-03-08,Broker:  Life Real Estates 
3,1 RK Residential Apartment for Rent in Pavana Nagar,https://property.sulekha.com/apartments-flats-for-rent/300-sqft-1-rk-flat-for-rent-in-pavana-nagar-pune-1007308438-ad,Pavana,No Car Parking 1st (of 1 Floors) UnFurnished Bachelors Veg/Non Veg,Corporation water,"18.6259403,73.7804315",300 Sq Feet,"6,500","15,000",2021-03-10,Broker:  Krishna estate agency 
4,2 BHK Residential Apartment for Rent in Magarpatta,https://property.sulekha.com/apartments-flats-for-rent/930-sqft-2-bhk-apartment-for-rent-in-magarpatta-pune-1007306963-ad,"Magarpatta,",1 Car Parking 5th (of 11 Floors) UnFurnished Family/Bachelor,Lifts Park Club House +2 Amenities,"0,0",930 Sq Feet,"18,000","50,000",2021-02-23,Broker:  Trimurti Real Estate consultant 
5,1 BHK Residential Apartment for Rent in Kothrud,https://property.sulekha.com/apartments-flats-for-rent/625-sqft-1-bhk-flat-for-rent-in-kothrud-pune-1007308373-ad,Shivthirth,No Car Parking 1st (of 3 Floors) UnFurnished Family/Bachelor,Corporation water Drainage Facility Security,"0,0",625 Sq Feet,"14,000","40,000",2021-03-10,Broker:  Sachin Enterprises 
6,1 RK Residential Apartment for Rent at Gurukrupa housing society in Kharadi,https://property.sulekha.com/apartments-flats-for-rent/400-sqft-1-rk-flat-for-rent-at-gurukrupa-housing-society-in-kharadi-pune-1007309731-ad,"Kharadi,",No Car Parking 2nd (of 4 Floors) UnFurnished Family/Bachelor Veg/Non Veg,Corporation water Drainage Facility,"0,0",400 Sq Feet,"6,000","15,000",2021-03-26,Building:  Gurukrupa housing society  Broker:  VS Properties 
7,1 RK Residential Apartment for Rent at shree apartment in Bhosari,https://property.sulekha.com/apartments-flats-for-rent/600-sqft-1-rk-flat-for-rent-at-shree-apartment-in-bhosari-pimpri-chinchwad-2796268277-ad,"Bhosari,",1 Car Parking 4th (of 4 Floors) Semi Furnished Family/Bachelor Veg/Non Veg,Corporation water Drainage Facility Visitors Parking +9 Amenities,"18.6440005,73.8505065",600 Sq Feet,"8,000","20,000",2020-02-28,Building:  shree apartment  Broker:  The Reliable Property Associates 
8,2 BHK Residential Apartment for Rent in Moshi Pradhikaran,https://property.sulekha.com/apartments-flats-for-rent/860-sqft-2-bhk-apartment-for-rent-in-moshi-pradhikaran-pimpri-chinchwad-2796285591-ad,Moshi,1 Car Parking 3rd (of 4 Floors) UnFurnished Family,Corporation water Drainage Facility Visitors Parking +2 Amenities,"18.6527077,73.8480927",860 Sq Feet,850,"30,000",2020-08-08,Broker:  Prime Properties 
9,1 BHK Residential Apartment for Rent at life Republic in Marunji,https://property.sulekha.com/apartments-flats-for-rent/680-sqft-1-bhk-flat-for-rent-at-life-republic-in-marunji-pimpri-chinchwad-2796299691-ad,"Marunji,",1 Car Parking 19th (of 22 Floors) UnFurnished Family/Bachelor Veg/Non Veg,Corporation water Drainage Facility 24*7 Power Backup +43 Amenities,"18.6208973,73.7106885",680 Sq Feet,"13,000","40,000",2020-12-06,Building:  life Republic   Broker:  Nimbleland Infracon L.L.P. 
10,1 BHK Residential Apartment for Rent at Vardhaman Dreams in Dange Chowk,https://property.sulekha.com/apartments-flats-for-rent/621-sqft-1-bhk-flat-for-rent-at-vardhaman-dreams-in-dange-chowk-pimpri-chinchwad-2796307210-ad,"Wakad,",1 Car Parking 4th (of 6 Floors) UnFurnished Family/Bachelor Veg/Non Veg,Corporation water 24*7 Power Backup Lifts +11 Amenities,"0,0",621 Sq Feet,"13,000","30,000",2021-02-26,Building:  Vardhaman Dreams  Broker:  Magic Homes 
11,1 RK Residential Apartment for Rent in Kharadi,https://property.sulekha.com/apartments-flats-for-rent/285-sqft-1-rk-flat-for-rent-in-kharadi-pune-1007309150-ad,"Kharadi,",No Car Parking 3rd (of 3 Floors) UnFurnished Family/Bachelor Veg/Non Veg,Corporation water,"18.552013,73.937569",285 Sq Feet,"6,000","12,000",2021-03-19,Broker:  Nilkanth Barate 
12,1 BHK Residential Apartment for Rent at Rakshak Nagar Gold in Kasba Peth,https://property.sulekha.com/apartments-flats-for-rent/585-sqft-1-bhk-flat-for-rent-at-rakshak-nagar-gold-in-kasba-peth-pune-1007305687-ad,Kasba,1 Car Parking 4th (of 6 Floors) UnFurnished Family Veg/Non Veg,Corporation water Drainage Facility 24*7 Power Backup +33 Amenities,"18.5204281,73.8567143",585 Sq Feet,"16,000","50,000",2021-02-09,Building:  Rakshak Nagar Gold  Broker:  Aditya Buildcon 
13,1 RK Residential Apartment for Rent in Yerawada,https://property.sulekha.com/apartments-flats-for-rent/400-sqft-1-rk-apartment-for-rent-in-yerawada-pune-1007295796-ad,Nagpur,No Car Parking 2nd (of 2 Floors) UnFurnished Family/Bachelor,Corporation water Drainage Facility 24*7 Power Backup,"0,0",400 Sq Feet,"6,000","12,000",2020-10-30,Broker:  S.S Enterprises 
14,1 BHK Flat for Rent at Amat preet in Hadapsar,https://property.sulekha.com/apartments-flats-for-rent/675-sqft-1-bhk-flat-for-rent-at-amat-preet-in-hadapsar-pune-1007282145-ad,"Hadapsar,",1 Car Parking 2nd (of 3 Floors) UnFurnished Family/Bachelor,Corporation water Drainage Facility Security +3 Amenities,"18.5055951,73.9256948",675 Sq Feet,"8,500","25,000",2020-07-10,Building:  Amat preet  Broker:  Malhar Properties 
15,1 BHK Residential Apartment for Rent at Vardhaman Dreams in Dange Chowk,https://property.sulekha.com/apartments-flats-for-rent/621-sqft-1-bhk-flat-for-rent-at-vardhaman-dreams-in-dange-chowk-pimpri-chinchwad-2796307210-ad,"Wakad,",1 Car Parking 4th (of 6 Floors) UnFurnished Family/Bachelor Veg/Non Veg,Corporation water 24*7 Power Backup Lifts +11 Amenities,"0,0",621 Sq Feet,"13,000","30,000",2021-02-26,Building:  Vardhaman Dreams  Broker:  Magic Homes 
16,1 RK Residential Apartment for Rent in Kharadi,https://property.sulekha.com/apartments-flats-for-rent/285-sqft-1-rk-flat-for-rent-in-kharadi-pune-1007309150-ad,"Kharadi,",No Car Parking 3rd (of 3 Floors) UnFurnished Family/Bachelor Veg/Non Veg,Corporation water,"18.552013,73.937569",285 Sq Feet,"6,000","12,000",2021-03-19,Broker:  Nilkanth Barate 
17,1 BHK Residential Apartment for Rent at Rakshak Nagar Gold in Kasba Peth,https://property.sulekha.com/apartments-flats-for-rent/585-sqft-1-bhk-flat-for-rent-at-rakshak-nagar-gold-in-kasba-peth-pune-1007305687-ad,Kasba,1 Car Parking 4th (of 6 Floors) UnFurnished Family Veg/Non Veg,Corporation water Drainage Facility 24*7 Power Backup +33 Amenities,"18.5204281,73.8567143",585 Sq Feet,"16,000","50,000",2021-02-09,Building:  Rakshak Nagar Gold  Broker:  Aditya Buildcon 
18,1 RK Residential Apartment for Rent in Yerawada,https://property.sulekha.com/apartments-flats-for-rent/400-sqft-1-rk-apartment-for-rent-in-yerawada-pune-1007295796-ad,Nagpur,No Car Parking 2nd (of 2 Floors) UnFurnished Family/Bachelor,Corporation water Drainage Facility 24*7 Power Backup,"0,0",400 Sq Feet,"6,000","12,000",2020-10-30,Broker:  S.S Enterprises 
19,1 BHK Flat for Rent at Amat preet in Hadapsar,https://property.sulekha.com/apartments-flats-for-rent/675-sqft-1-bhk-flat-for-rent-at-amat-preet-in-hadapsar-pune-1007282145-ad,"Hadapsar,",1 Car Parking 2nd (of 3 Floors) UnFurnished Family/Bachelor,Corporation water Drainage Facility Security +3 Amenities,"18.5055951,73.9256948",675 Sq Feet,"8,500","25,000",2020-07-10,Building:  Amat preet  Broker:  Malhar Properties 
20,1 RK Residential Apartment for Rent in Pimpri,https://property.sulekha.com/apartments-flats-for-rent/400-sqft-1-rk-flat-for-rent-in-pimpri-pune-100755674-ad,"Pimpri,",1 Car Parking Ground Floor (of 1 Floors) UnFurnished Family/Bachelor,Corporation water Drainage Facility 24*7 Power Backup,"18.6297811,73.7997094",400 Sq Feet,"7,000","50,000",2019-06-29,Broker:  Vision Associates 
21,1 BHK Residential Apartment for Rent in Dhayari,https://property.sulekha.com/apartments-flats-for-rent/550-sqft-1-bhk-flat-for-rent-in-dhayari-pune-1007312148-ad,Benkar,No Car Parking 3rd (of 4 Floors) UnFurnished Family Veg/Non Veg,Corporation water ATM Visitors Parking +1 Amenities,"0,0",550 Sq Feet,"5,600","20,000",2021-05-15,Broker:  Rama Enterprises 
22,3 BHK Residential Apartment for Rent at Eternal Exotica in Undri,https://property.sulekha.com/apartments-flats-for-rent/1509-sqft-3-bhk-flat-for-rent-at-eternal-exotica-in-undri-pune-1007274662-ad,"Undri,",1 Car Parking 4th (of 11 Floors) Fully Furnished Bachelors,24*7 Power Backup Lifts Swimming Pool +16 Amenities,"18.4566651,73.9095279",1509 Sq Feet,for,"2,000,000",2020-03-18,Building:  Eternal Exotica  Broker:  Ozone Properties 
23,2 BHK Residential Apartment for Rent at Gyanganga in Aundh,https://property.sulekha.com/apartments-flats-for-rent/900-sqft-2-bhk-flat-for-rent-at-gyanganga-in-aundh-pune-1007310695-ad,Wireless,1 Car Parking 1st (of 5 Floors) UnFurnished Family/Bachelor Veg/Non Veg,Corporation water Drainage Facility Lifts +10 Amenities,"18.564194,73.8040924",900 Sq Feet,"15,000","50,000",2021-04-12,Building:  Gyanganga  Owner:  Shrikant DALVI 
24,1 RK Residential Apartment for Rent at swami in Hadapsar,https://property.sulekha.com/apartments-flats-for-rent/420-sqft-1-rk-flat-for-rent-at-swami-in-hadapsar-pune-1007309686-ad,"Hadapsar,",No Car Parking 1st (of 4 Floors) Semi Furnished Family/Bachelor Veg/Non Veg,Corporation water Drainage Facility 24*7 Power Backup +8 Amenities,"18.515806,73.927164",420 Sq Feet,"6,890","14,000",2021-03-25,Building:  swami   Broker:  Sejal Properties 
0,2 BHK Residential Apartment for Rent at kumar paradise in Hadapsar,https://property.sulekha.com/apartments-flats-for-rent/1150-sqft-2-bhk-flat-for-rent-at-kumar-paradise-in-hadapsar-pune-1007307616-ad,"Hadapsar,",1 Car Parking 4th (of 11 Floors) UnFurnished Family/Bachelor Veg/Non Veg,Corporation water Drainage Facility 24*7 Power Backup +43 Amenities,"18.515806,73.927164",1150 Sq Feet,for,"45,000",2021-03-01,Building:  kumar paradise  Broker:  Sejal Properties 
1,2 BHK Residential Apartment for Rent at La Gloriosa in Kalyani Nagar,https://property.sulekha.com/apartments-flats-for-rent/1050-sqft-2-bhk-apartment-for-rent-at-la-gloriosa-in-kalyani-nagar-pune-1007300241-ad,Kalyani,2 Car Parking 6th (of 7 Floors) Fully Furnished Family/Bachelor Veg/Non Veg,Drainage Facility Lifts Security +22 Amenities,"0,0",1050 Sq Feet,26,"80,000",2020-12-11,Building:  La Gloriosa  Broker:  Mountain Gate Properties 
2,1 RK Residential Apartment for Rent in Baner Gaon,https://property.sulekha.com/apartments-flats-for-rent/250-sqft-1-rk-flat-for-rent-in-baner-gaon-pune-1007308259-ad,Baner,1 Car Parking 2nd (of 3 Floors) Semi Furnished Family/Bachelor,Feng Shui / Vastu,"0,0",250 Sq Feet,"7,000","20,000",2021-03-08,Broker:  Life Real Estates 
3,1 RK Residential Apartment for Rent in Pavana Nagar,https://property.sulekha.com/apartments-flats-for-rent/300-sqft-1-rk-flat-for-rent-in-pavana-nagar-pune-1007308438-ad,Pavana,No Car Parking 1st (of 1 Floors) UnFurnished Bachelors Veg/Non Veg,Corporation water,"18.6259403,73.7804315",300 Sq Feet,"6,500","15,000",2021-03-10,Broker:  Krishna estate agency 
4,2 BHK Residential Apartment for Rent in Magarpatta,https://property.sulekha.com/apartments-flats-for-rent/930-sqft-2-bhk-apartment-for-rent-in-magarpatta-pune-1007306963-ad,"Magarpatta,",1 Car Parking 5th (of 11 Floors) UnFurnished Family/Bachelor,Lifts Park Club House +2 Amenities,"0,0",930 Sq Feet,"18,000","50,000",2021-02-23,Broker:  Trimurti Real Estate consultant 
5,1 BHK Residential Apartment for Rent in Kothrud,https://property.sulekha.com/apartments-flats-for-rent/625-sqft-1-bhk-flat-for-rent-in-kothrud-pune-1007308373-ad,Shivthirth,No Car Parking 1st (of 3 Floors) UnFurnished Family/Bachelor,Corporation water Drainage Facility Security,"0,0",625 Sq Feet,"14,000","40,000",2021-03-10,Broker:  Sachin Enterprises 
6,1 RK Residential Apartment for Rent at Gurukrupa housing society in Kharadi,https://property.sulekha.com/apartments-flats-for-rent/400-sqft-1-rk-flat-for-rent-at-gurukrupa-housing-society-in-kharadi-pune-1007309731-ad,"Kharadi,",No Car Parking 2nd (of 4 Floors) UnFurnished Family/Bachelor Veg/Non Veg,Corporation water Drainage Facility,"0,0",400 Sq Feet,"6,000","15,000",2021-03-26,Building:  Gurukrupa housing society  Broker:  VS Properties 
7,1 RK Residential Apartment for Rent at shree apartment in Bhosari,https://property.sulekha.com/apartments-flats-for-rent/600-sqft-1-rk-flat-for-rent-at-shree-apartment-in-bhosari-pimpri-chinchwad-2796268277-ad,"Bhosari,",1 Car Parking 4th (of 4 Floors) Semi Furnished Family/Bachelor Veg/Non Veg,Corporation water Drainage Facility Visitors Parking +9 Amenities,"18.6440005,73.8505065",600 Sq Feet,"8,000","20,000",2020-02-28,Building:  shree apartment  Broker:  The Reliable Property Associates 
8,2 BHK Residential Apartment for Rent in Moshi Pradhikaran,https://property.sulekha.com/apartments-flats-for-rent/860-sqft-2-bhk-apartment-for-rent-in-moshi-pradhikaran-pimpri-chinchwad-2796285591-ad,Moshi,1 Car Parking 3rd (of 4 Floors) UnFurnished Family,Corporation water Drainage Facility Visitors Parking +2 Amenities,"18.6527077,73.8480927",860 Sq Feet,850,"30,000",2020-08-08,Broker:  Prime Properties 
9,1 BHK Residential Apartment for Rent at life Republic in Marunji,https://property.sulekha.com/apartments-flats-for-rent/680-sqft-1-bhk-flat-for-rent-at-life-republic-in-marunji-pimpri-chinchwad-2796299691-ad,"Marunji,",1 Car Parking 19th (of 22 Floors) UnFurnished Family/Bachelor Veg/Non Veg,Corporation water Drainage Facility 24*7 Power Backup +43 Amenities,"18.6208973,73.7106885",680 Sq Feet,"13,000","40,000",2020-12-06,Building:  life Republic   Broker:  Nimbleland Infracon L.L.P. 
10,1 BHK Residential Apartment for Rent at Vardhaman Dreams in Dange Chowk,https://property.sulekha.com/apartments-flats-for-rent/621-sqft-1-bhk-flat-for-rent-at-vardhaman-dreams-in-dange-chowk-pimpri-chinchwad-2796307210-ad,"Wakad,",1 Car Parking 4th (of 6 Floors) UnFurnished Family/Bachelor Veg/Non Veg,Corporation water 24*7 Power Backup Lifts +11 Amenities,"0,0",621 Sq Feet,"13,000","30,000",2021-02-26,Building:  Vardhaman Dreams  Broker:  Magic Homes 
11,1 RK Residential Apartment for Rent in Kharadi,https://property.sulekha.com/apartments-flats-for-rent/285-sqft-1-rk-flat-for-rent-in-kharadi-pune-1007309150-ad,"Kharadi,",No Car Parking 3rd (of 3 Floors) UnFurnished Family/Bachelor Veg/Non Veg,Corporation water,"18.552013,73.937569",285 Sq Feet,"6,000","12,000",2021-03-19,Broker:  Nilkanth Barate 
12,1 BHK Residential Apartment for Rent at Rakshak Nagar Gold in Kasba Peth,https://property.sulekha.com/apartments-flats-for-rent/585-sqft-1-bhk-flat-for-rent-at-rakshak-nagar-gold-in-kasba-peth-pune-1007305687-ad,Kasba,1 Car Parking 4th (of 6 Floors) UnFurnished Family Veg/Non Veg,Corporation water Drainage Facility 24*7 Power Backup +33 Amenities,"18.5204281,73.8567143",585 Sq Feet,"16,000","50,000",2021-02-09,Building:  Rakshak Nagar Gold  Broker:  Aditya Buildcon 
13,1 RK Residential Apartment for Rent in Yerawada,https://property.sulekha.com/apartments-flats-for-rent/400-sqft-1-rk-apartment-for-rent-in-yerawada-pune-1007295796-ad,Nagpur,No Car Parking 2nd (of 2 Floors) UnFurnished Family/Bachelor,Corporation water Drainage Facility 24*7 Power Backup,"0,0",400 Sq Feet,"6,000","12,000",2020-10-30,Broker:  S.S Enterprises 
14,1 BHK Flat for Rent at Amat preet in Hadapsar,https://property.sulekha.com/apartments-flats-for-rent/675-sqft-1-bhk-flat-for-rent-at-amat-preet-in-hadapsar-pune-1007282145-ad,"Hadapsar,",1 Car Parking 2nd (of 3 Floors) UnFurnished Family/Bachelor,Corporation water Drainage Facility Security +3 Amenities,"18.5055951,73.9256948",675 Sq Feet,"8,500","25,000",2020-07-10,Building:  Amat preet  Broker:  Malhar Properties 
15,1 BHK Residential Apartment for Rent at Vardhaman Dreams in Dange Chowk,https://property.sulekha.com/apartments-flats-for-rent/621-sqft-1-bhk-flat-for-rent-at-vardhaman-dreams-in-dange-chowk-pimpri-chinchwad-2796307210-ad,"Wakad,",1 Car Parking 4th (of 6 Floors) UnFurnished Family/Bachelor Veg/Non Veg,Corporation water 24*7 Power Backup Lifts +11 Amenities,"0,0",621 Sq Feet,"13,000","30,000",2021-02-26,Building:  Vardhaman Dreams  Broker:  Magic Homes 
16,1 RK Residential Apartment for Rent in Kharadi,https://property.sulekha.com/apartments-flats-for-rent/285-sqft-1-rk-flat-for-rent-in-kharadi-pune-1007309150-ad,"Kharadi,",No Car Parking 3rd (of 3 Floors) UnFurnished Family/Bachelor Veg/Non Veg,Corporation water,"18.552013,73.937569",285 Sq Feet,"6,000","12,000",2021-03-19,Broker:  Nilkanth Barate 
17,1 BHK Residential Apartment for Rent at Rakshak Nagar Gold in Kasba Peth,https://property.sulekha.com/apartments-flats-for-rent/585-sqft-1-bhk-flat-for-rent-at-rakshak-nagar-gold-in-kasba-peth-pune-1007305687-ad,Kasba,1 Car Parking 4th (of 6 Floors) UnFurnished Family Veg/Non Veg,Corporation water Drainage Facility 24*7 Power Backup +33 Amenities,"18.5204281,73.8567143",585 Sq Feet,"16,000","50,000",2021-02-09,Building:  Rakshak Nagar Gold  Broker:  Aditya Buildcon 
18,1 RK Residential Apartment for Rent in Yerawada,https://property.sulekha.com/apartments-flats-for-rent/400-sqft-1-rk-apartment-for-rent-in-yerawada-pune-1007295796-ad,Nagpur,No Car Parking 2nd (of 2 Floors) UnFurnished Family/Bachelor,Corporation water Drainage Facility 24*7 Power Backup,"0,0",400 Sq Feet,"6,000","12,000",2020-10-30,Broker:  S.S Enterprises 
19,1 BHK Flat for Rent at Amat preet in Hadapsar,https://property.sulekha.com/apartments-flats-for-rent/675-sqft-1-bhk-flat-for-rent-at-amat-preet-in-hadapsar-pune-1007282145-ad,"Hadapsar,",1 Car Parking 2nd (of 3 Floors) UnFurnished Family/Bachelor,Corporation water Drainage Facility Security +3 Amenities,"18.5055951,73.9256948",675 Sq Feet,"8,500","25,000",2020-07-10,Building:  Amat preet  Broker:  Malhar Properties 
20,1 RK Residential Apartment for Rent in Pimpri,https://property.sulekha.com/apartments-flats-for-rent/400-sqft-1-rk-flat-for-rent-in-pimpri-pune-100755674-ad,"Pimpri,",1 Car Parking Ground Floor (of 1 Floors) UnFurnished Family/Bachelor,Corporation water Drainage Facility 24*7 Power Backup,"18.6297811,73.7997094",400 Sq Feet,"7,000","50,000",2019-06-29,Broker:  Vision Associates 
21,1 BHK Residential Apartment for Rent in Dhayari,https://property.sulekha.com/apartments-flats-for-rent/550-sqft-1-bhk-flat-for-rent-in-dhayari-pune-1007312148-ad,Benkar,No Car Parking 3rd (of 4 Floors) UnFurnished Family Veg/Non Veg,Corporation water ATM Visitors Parking +1 Amenities,"0,0",550 Sq Feet,"5,600","20,000",2021-05-15,Broker:  Rama Enterprises 
22,3 BHK Residential Apartment for Rent at Eternal Exotica in Undri,https://property.sulekha.com/apartments-flats-for-rent/1509-sqft-3-bhk-flat-for-rent-at-eternal-exotica-in-undri-pune-1007274662-ad,"Undri,",1 Car Parking 4th (of 11 Floors) Fully Furnished Bachelors,24*7 Power Backup Lifts Swimming Pool +16 Amenities,"18.4566651,73.9095279",1509 Sq Feet,for,"2,000,000",2020-03-18,Building:  Eternal Exotica  Broker:  Ozone Properties 
23,2 BHK Residential Apartment for Rent at Gyanganga in Aundh,https://property.sulekha.com/apartments-flats-for-rent/900-sqft-2-bhk-flat-for-rent-at-gyanganga-in-aundh-pune-1007310695-ad,Wireless,1 Car Parking 1st (of 5 Floors) UnFurnished Family/Bachelor Veg/Non Veg,Corporation water Drainage Facility Lifts +10 Amenities,"18.564194,73.8040924",900 Sq Feet,"15,000","50,000",2021-04-12,Building:  Gyanganga  Owner:  Shrikant DALVI 
